Package,Current_Version,Latest_Version,Ecosystem,Source_Package,Total_CVEs,Fixed,Open,Unknown,New_In_Latest,Net_Change,Recommendation
chart.js,2.5.0,4.5.1,npm,chart.js,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
cipher-base,1.0.4,1.0.7,npm,cipher-base,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
cookie,0.3.1,1.1.1,npm,cookie,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
cross-spawn,6.0.5,7.0.6,npm,cross-spawn,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
d3-color,1.4.0,3.1.0,npm,d3-color,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
debug,3.2.6,4.4.3,npm,debug,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
decode-uri-component,0.2.0,0.4.1,npm,decode-uri-component,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
diff,3.5.0,8.0.3,npm,diff,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
es5-ext,0.10.62,0.10.64,npm,es5-ext,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
form-data,2.3.3,4.0.5,npm,form-data,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
http-cache-semantics,3.8.1,4.2.0,npm,http-cache-semantics,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
http-proxy-middleware,0.19.2,3.0.5,npm,http-proxy-middleware,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
ini,1.3.5,6.0.0,npm,ini,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
js-yaml,3.13.1,4.1.1,npm,js-yaml,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
json-schema,0.2.3,0.4.0,npm,json-schema,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
json5,1.0.1,2.2.3,npm,json5,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
kind-of,6.0.2,6.0.3,npm,kind-of,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
log4js,4.5.1,6.9.1,npm,log4js,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
micromatch,3.1.10,4.0.8,npm,micromatch,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
minimatch,3.0.4,10.2.0,npm,minimatch,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
on-headers,1.0.2,1.1.0,npm,on-headers,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
path-parse,1.0.6,1.0.7,npm,path-parse,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
plotly.js,1.58.5,3.3.1,npm,plotly.js,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
qs,6.5.2,6.15.0,npm,qs,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
semver,5.6.0,7.7.4,npm,semver,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
send,0.18.0,1.2.1,npm,send,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
serve-static,1.15.0,2.2.1,npm,serve-static,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
sha.js,2.4.11,2.4.12,npm,sha.js,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
sockjs,0.3.19,0.3.24,npm,sockjs,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
terser,3.17.0,5.46.0,npm,terser,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
tmp,0.0.30,0.2.5,npm,tmp,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
tough-cookie,2.5.0,6.0.0,npm,tough-cookie,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
webpack-dev-middleware,3.6.2,7.4.5,npm,webpack-dev-middleware,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
webpack-subresource-integrity,1.1.0-rc.6,5.2.0-rc.1,npm,webpack-subresource-integrity,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
ws,3.3.3,8.19.0,npm,ws,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
xml2js,0.4.22,0.6.2,npm,xml2js,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
yargs-parser,11.1.1,22.0.0,npm,yargs-parser,1,1,0,0,0,-1,"UPGRADE — all 1 CVEs fixed; no new CVEs"
node,16.20.2,unknown,unknown,node,18,0,0,18,0,0,"INVESTIGATE — fix status unknown for all 18 CVEs"
busybox,1.36.1-r7,unknown,alpine,busybox,3,0,0,3,0,0,"INVESTIGATE — fix status unknown for all 3 CVEs"
example-typescript,1.0.0,0.0.1-security,npm,example-typescript,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
monorepo-symlink-test,0.0.0,0.0.1-security,npm,monorepo-symlink-test,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
parseuri,0.0.5,3.0.2,npm,parseuri,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
request,2.88.2,2.88.2,npm,request,1,0,1,0,0,0,"NO FIX AVAILABLE — all 1 CVEs still open"
useragent,2.3.0,2.3.0,npm,useragent,1,0,0,1,0,0,"INVESTIGATE — fix status unknown for all 1 CVEs"
